Sample,NO3
ERS490659,0.025333
ERS490542,0.185971
ERS488625,0.253501
ERS488573,0.279747
ERS490437,0.416799
ERS489585,0.532471
ERS494394,0.808032
ERS490269,1.103865
ERS490331,1.763081
