Sample,Iron.5m
ERS491424,3.97358015410039e-06
ERS490269,0.000368279658384078
ERS490542,0.00077687834467118
ERS490331,0.00078781635966152
ERS490659,0.000862562301335856
ERS494394,0.00098384377391388
ERS489585,0.00104826559739498
ERS489677,0.00106827544126039
ERS489339,0.00110425098682754
ERS490743,0.00122622006650393
ERS490396,0.00124357673727597
ERS490437,0.00126216855521003
ERS488547,0.00138711252172167
ERS489164,0.00138768317022671
ERS489136,0.0013876977803496
ERS489074,0.00138769942956666
ERS488920,0.00138772013209139
ERS488573,0.00138778716791421
ERS488625,0.00138779064097131
ERS488332,0.00138789506551499
ERS488299,0.00138789714158823
