gene_id	ERS490437	ERS494394	ERS490331	ERS490187	ERS488920	ERS488625	ERS490542	ERS494445	ERS494173	ERS494518	ERS488573	ERS488299	ERS490659	ERS494332	ERS489074	ERS488547	ERS490743	ERS490269	ERS489339	ERS489164	ERS491424	ERS490396	ERS489677	ERS489136	ERS489585	ERS488332	ERS494583
P9301_07881 	0	0	0	0	1	0	1	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
P9301_07891 	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
P9301_07901 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
P9301_07911 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
P9301_07921 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P9301_07931 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P9301_07941 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P9301_07951 	0	0	0	0	0	0	1	0	2	0	0	0	4	3	0	0	3	0	0	1	0	1	0	0	0	0	0
P9301_07961 	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P9301_07971 	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P9301_07981 	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P9301_07991 	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	6	0	0	0	0	4	0	0	0	0	0
P9301_08001 	1	0	0	0	0	0	0	0	0	0	4	0	3	0	0	5	0	0	0	0	0	9	9	0	0	0	0
P9301_08011 	16	0	0	0	1	0	4	14	39	0	2	0	41	0	0	40	40	0	0	9	0	61	0	0	0	0	0
