gene_id	ERS490437	ERS494394	ERS490331	ERS490187	ERS488920	ERS488625	ERS490542	ERS494445	ERS494173	ERS494518	ERS488573	ERS488299	ERS490659	ERS494332	ERS489074	ERS488547	ERS490743	ERS490269	ERS489339	ERS489164	ERS491424	ERS490396	ERS489677	ERS489136	ERS489585	ERS488332	ERS494583
P9301_00001 	4	1	0	0	511	0	5	0	5	0	4	0	11	26	0	36	27	0	42	15	0	78	56	102	0	0	0
P9301_00011 	0	0	0	0	23	0	0	0	0	0	6	0	4	1	0	14	3	0	0	8	0	52	0	22	0	0	0
P9301_00021 	53	0	0	0	86	103	55	0	73	0	240	0	75	78	13	618	80	0	30	63	0	175	140	56	0	0	0
P9301_00031 	34	6	0	0	11	0	12	0	15	0	20	0	17	1	11	67	30	0	40	44	0	58	0	5	0	0	0
P9301_00041 	0	0	0	0	128	0	1	0	0	0	4	0	6	0	0	4	1	0	0	0	0	0	0	6	19	0	0
P9301_00051 	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P9301_00061 	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	11	0	15	0	0	0	0	0	0	0	0
P9301_00071 	29	0	0	0	39	29	25	5	27	0	53	0	40	19	0	76	21	0	15	64	0	28	0	0	0	0	0
P9301_00081 	3	0	0	0	7	0	0	0	0	0	5	0	2	0	4	2	1	0	38	2	0	12	0	2	27	0	0
P9301_00091 	7	0	0	0	189	0	14	0	14	0	35	0	3	16	1	40	8	0	0	23	0	86	0	14	40	0	0
P9301_00101 	0	0	0	0	22	0	0	0	2	0	0	0	1	0	0	14	2	0	0	22	0	7	0	8	0	0	0
P9301_00111 	4	0	0	0	228	0	3	0	6	0	0	0	14	0	11	12	27	0	27	0	0	21	29	35	3	0	0
P9301_00121 	96	2	5	0	23	5	55	59	59	147	77	0	141	0	0	222	67	116	0	8	0	54	0	8	0	2	42
P9301_00131 	2	0	0	0	0	0	5	0	0	12	0	0	1	0	0	5	8	0	0	1	0	16	0	0	0	0	0
P9301_00141 	4	0	0	0	15	0	11	0	11	0	41	0	19	0	0	78	22	0	0	26	0	67	0	0	71	0	0
P9301_00151 	62	25	0	0	641	21	72	0	76	0	114	0	97	92	0	456	135	0	107	242	0	250	94	174	102	0	0
P9301_00161 	6	0	0	0	12	8	6	0	19	0	22	0	16	0	0	61	10	0	0	43	0	42	77	11	0	0	0
P9301_00171 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0
P9301_00181 	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
P9301_00191 	12	0	0	0	545	0	24	0	21	0	17	0	35	32	0	80	113	0	167	101	0	106	91	55	0	0	0
P9301_00201 	0	0	0	0	0	0	5	0	0	0	0	0	7	0	15	11	3	0	0	0	0	13	25	7	1	0	0
P9301_00211 	0	0	0	0	13	25	7	0	0	0	0	0	0	38	0	0	0	0	0	0	0	1	0	0	0	0	0
P9301_00221 	4	0	0	0	5	1	29	0	73	0	37	0	43	53	0	59	6	0	8	76	0	361	0	0	0	0	0
P9301_00231 	0	1	0	0	0	0	9	0	8	0	5	0	9	0	0	34	0	0	0	7	0	1	0	0	0	0	0
P9301_00241 	134	67	18	0	124	147	425	64	494	5	579	0	496	216	48	1096	100	1	94	162	0	653	82	39	43	0	1
P9301_00251 	356	16	29	0	1158	236	372	80	777	27	1250	0	700	342	52	1284	1033	1	324	577	0	1395	265	79	17	0	0
P9301_00261 	6	0	0	0	0	4	3	0	12	0	6	0	4	17	0	17	4	0	16	5	0	0	0	7	2	0	0
P9301_00271 	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	13	3	0	0	0	0	13	0	7	0	0	0
P9301_00281 	3	0	0	0	0	0	0	0	1	0	0	0	2	0	0	6	1	0	0	0	0	0	0	0	0	0	0
P9301_00291 	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P9301_00301 	0	0	0	0	20	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	14	5	0	0	0
P9301_00311 	0	0	0	0	52	0	0	0	1	0	0	0	0	0	0	2	3	0	0	14	0	2	0	9	0	0	0
P9301_00321 	0	0	0	0	0	0	2	0	0	0	2	0	4	0	3	6	10	0	0	0	0	0	0	0	0	0	0
P9301_00331 	15	0	0	0	0	36	6	0	4	0	8	0	11	4	0	45	9	0	0	10	0	3	1	0	0	0	0
P9301_00341 	2	4	0	0	510	0	22	0	9	0	8	0	11	0	0	24	65	0	24	28	0	47	53	85	31	0	0
P9301_00351 	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
P9301_00361 	12	0	0	0	126	0	25	0	14	0	27	0	16	0	7	64	58	0	22	10	0	55	0	35	9	0	0
P9301_00371 	2	10	0	0	49	0	0	0	1	0	9	0	7	3	0	29	0	3	0	0	0	5	0	26	0	0	5
P9301_00381 	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
P9301_00391 	0	0	0	0	0	0	1	18	0	0	7	0	2	0	0	11	0	0	0	0	0	0	0	0	0	0	0
P9301_00401 	0	0	0	0	0	0	2	0	0	0	9	0	1	0	0	5	6	0	0	0	0	0	0	2	52	0	0
P9301_00411 	0	0	0	0	56	0	0	0	0	0	0	0	2	0	0	7	10	0	0	0	0	0	0	5	0	0	0
P9301_00421 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P9301_00431 	4	0	0	0	1	2	3	0	3	0	1	0	5	0	0	0	5	0	0	0	0	11	35	0	0	0	0
P9301_00441 	19	5	0	0	32	1	38	0	67	0	59	0	24	2	0	112	11	0	0	22	0	74	28	21	1	0	0
